"station","region","state","station_code","first date","height","longitude","latitude"
MORRETES,S,PR,A873,"2008-03-13",59.0,-48.80861111,-25.508935
AGUAS VERMELHAS,SE,MG,A549,"2007-09-09",754.07,-41.457787,-15.751536
CRUZ ALTA,S,RS,A853,"2007-05-31",432.0,-53.673597,-28.60344
PRESIDENTE FIGUEIREDO,N,AM,A126,"2008-04-19",92.0,-60.025756,-2.056558
PARANOA (COOPA-DF),CO,DF,A047,"2017-02-07",1043.0,-47.557417,-16.01111111
CALCANHAR,NE,RN,A344,"2008-05-08",17.0,-35.45416666,-5.159925
NOVA ALVORADA DO SUL,CO,MS,S712,"2018-02-23",5.0,-54.34194444,-21.450972
CURVELO,SE,MG,A538,"2006-12-18",670.0,-44.45361111,-18.747711
ESTREITO,NE,MA,A224,"2008-02-27",182.96,-47.41833332,-6.65333333
BRAGANCA,N,PA,A226,"2008-03-11",41.0,-46.78277777,-1.04527777
TANGARA DA SERRA,CO,MT,A902,"2002-12-11",440.01,-57.41666666,-14.65
SINOP,CO,MT,A917,"2006-10-29",371.0,-55.56583333,-11.98222221
SAO GABRIEL DO OESTE,CO,MS,A732,"2006-12-18",647.0,-54.55305555,-19.42027777
JAGUARUANA,NE,CE,A339,"2007-11-10",49.0,-37.76666666,-4.78694444
SETE QUEDAS,CO,MS,A751,"2008-06-03",402.0,-55.02416666,-23.96694443
NITEROI,SE,RJ,A627,"2018-07-13",6.0,-43.10194444,-22.867389
DIANOPOLIS,N,TO,A038,"2008-08-30",732.0,-46.847209,-11.59416666
SAO SEBASTIAO,SE,SP,A767,"2017-10-25",24.0,-45.4025,-23.810722
FATIMA DO SUL,CO,MS,S708,"2018-02-28",340.0,-54.325833,-22.30861111
MORADA NOVA,NE,CE,A332,"2007-08-24",45.03,-38.35638888,-5.13638888
ARAGUATINS,N,TO,A044,"2009-03-12",130.71,-48.11166666,-5.6436111
SAO MIGUEL DO OESTE,S,SC,A857,"2008-03-12",665.0,-53.50444444,-26.77666666
ARIRANHA,SE,SP,A736,"2007-11-13",525.44,-48.84027777,-21.13305554
SALVADOR,NE,BA,A401,"2000-05-13",51.41,-38.50576,-13.005515
PIRES DO RIO,CO,GO,A033,"2007-10-12",757.27,-48.28416666,-17.30416666
REMANSO,NE,BA,A423,"2008-03-26",401.0,-42.077214,-9.60277777
MARINGA,S,PR,A835,"2006-11-21",548.51,-51.91666666,-23.40527777
MEDICILANDIA,N,PA,A209,"2008-02-17",251.68,-52.96345,-3.51083333
ITAQUIRAI,CO,MS,A752,"2008-05-28",337.82,-54.18166666,-23.44944444
EDEIA,CO,GO,A029,"2017-08-26",608.0,-49.91472222,-17.33694444
LAGOA DA CONFUSAO,N,TO,A055,"2016-11-15",178.0,-49.84777777,-10.80833333
LENCOIS,NE,BA,A425,"2008-04-05",438.74,-41.388808,-12.55722222
TRES LAGOAS,CO,MS,A704,"2001-09-03",328.94,-51.712222,-20.783333
CAMARATUBA,NE,PB,A352,"2008-05-04",136.0,-35.13472221,-6.56083333
ANGELICA,CO,MS,S701,"2018-04-09",347.0,-53.76361111,-22.14805555
SAO BORJA,S,RS,A830,"2007-07-21",83.0,-56.01555555,-28.64944444
SANTA MARIA,S,RS,A803,"2001-11-26",103.1,-53.70361111,-29.70833333
SAO GABRIEL,S,RS,A832,"2007-07-11",126.0,-54.31083333,-30.34138888
SERRA TALHADA,NE,PE,A350,"2008-07-09",499.02,-38.29472221,-7.95361111
